Date;Home;Away;1(o);1(e);X(o);X(e);2(o);2(e);BTS(o);BTS(e);BTS_no(o);BTS_no(e);Over(o);Over(e);Under(o);Under(e);1H;Match;Goals;League;Link;Notes
19.12.2023 23:30;Atl. Madrid;Getafe;1.33;1.50;4.75;4.50;8.00;7.00;2.25;1.95;1.57;1.80;1.93;1.80;1.97;2.00;1 - 0;3 - 3;44, 53, 63, 69, 87, 90+3;SPAIN: Laliga - Round 18;https://www.flashscore.com/match/football/EwmSwQZI/#/match-summary;
19.12.2023 23:30;Granada CF;Sevilla;2.88;3.00;3.40;3.20;2.25;2.45;1.67;1.95;2.10;1.80;1.85;2.25;2.05;1.62;0 - 2;0 - 3;23, 32, 49;SPAIN: Laliga - Round 18;https://www.flashscore.com/match/football/KhVmeR4g/#/match-summary;
19.12.2023 21:00;Rayo Vallecano;Valencia;2.20;2.25;3.40;3.20;3.10;3.40;1.91;1.95;1.91;1.80;2.10;2.25;1.70;1.62;0 - 0;0 - 1;61;SPAIN: Laliga - Round 18;https://www.flashscore.com/match/football/QVVqd7km/#/match-summary;
18.12.2023 23:00;Girona;Alaves;1.57;1.60;3.60;4.00;6.50;5.25;1.91;1.80;1.91;1.95;1.80;1.84;2.00;2.06;2 - 0;3 - 0;23, 42, 59;SPAIN: Laliga - Round 17;https://www.flashscore.com/match/football/hObJun56/#/match-summary;
17.12.2023 23:00;Real Madrid;Villarreal;1.30;1.25;5.50;6.50;8.50;10.00;1.62;1.75;2.20;2.00;1.36;1.33;3.10;3.40;2 - 0;4 - 1;25, 37, 54, 64, 68;SPAIN: Laliga - Round 17;https://www.flashscore.com/match/football/nNFzlAcQ/#/match-summary;
17.12.2023 20:30;Las Palmas;Cadiz CF;1.83;1.95;3.40;3.25;4.20;4.20;2.05;2.10;1.70;1.67;2.25;2.40;1.62;1.53;1 - 0;1 - 1;7, 83;SPAIN: Laliga - Round 17;https://www.flashscore.com/match/football/pbeBs8zf/#/match-summary;
17.12.2023 18:15;Real Sociedad;Betis;1.70;1.57;3.75;4.20;4.50;5.50;1.95;2.00;1.80;1.75;2.05;2.01;1.85;1.89;0 - 0;0 - 0;;SPAIN: Laliga - Round 17;https://www.flashscore.com/match/football/67d7rlLm/#/match-summary;
17.12.2023 16:00;Almeria;Mallorca;2.80;2.38;3.25;3.20;2.45;3.30;1.80;2.00;1.95;1.75;2.07;2.40;1.83;1.53;0 - 0;0 - 0;;SPAIN: Laliga - Round 17;https://www.flashscore.com/match/football/0UZuSSz7/#/match-summary;
16.12.2023 23:00;Valencia;Barcelona;4.00;5.75;3.75;4.50;1.80;1.50;1.70;1.67;2.05;2.10;1.75;1.57;2.05;2.35;0 - 0;1 - 1;55, 70;SPAIN: Laliga - Round 17;https://www.flashscore.com/match/football/lW12qU5s/#/match-summary;
16.12.2023 20:30;Sevilla;Getafe;1.65;1.75;3.60;3.50;5.00;4.75;2.05;2.20;1.70;1.62;2.10;2.40;1.70;1.53;0 - 2;0 - 3;5, 37, 80;SPAIN: Laliga - Round 17;https://www.flashscore.com/match/football/vLfFtSk0/#/match-summary;
16.12.2023 18:15;Ath Bilbao;Atl. Madrid;2.55;2.55;3.00;3.30;2.80;2.80;1.67;1.70;2.10;2.05;1.96;1.95;1.94;1.95;0 - 0;2 - 0;51, 64;SPAIN: Laliga - Round 17;https://www.flashscore.com/match/football/vLYqRnjD/#/match-summary;
16.12.2023 16:00;Celta Vigo;Granada CF;1.55;1.67;4.00;4.00;5.25;5.00;1.75;1.95;2.00;1.80;1.70;1.99;2.10;1.91;1 - 0;1 - 0;20;SPAIN: Laliga - Round 17;https://www.flashscore.com/match/football/tQCSkWSD/#/match-summary;
15.12.2023 23:00;Osasuna;Rayo Vallecano;2.00;2.20;3.25;3.20;3.80;3.40;2.00;2.00;1.75;1.75;2.25;2.35;1.62;1.57;0 - 0;1 - 0;90+5;SPAIN: Laliga - Round 17;https://www.flashscore.com/match/football/h0GWljrK/#/match-summary;
11.12.2023 23:00;Granada CF;Ath Bilbao;4.50;4.00;3.60;3.60;1.75;1.91;1.67;1.70;2.10;2.05;1.70;1.89;2.10;2.01;0 - 1;1 - 1;6, 55;SPAIN: Laliga - Round 16;https://www.flashscore.com/match/football/AusTUUjl/#/match-summary;
11.12.2023 23:00;Rayo Vallecano;Celta Vigo;2.30;2.70;3.20;3.10;3.25;2.80;1.75;1.80;2.00;1.95;2.06;2.15;1.84;1.67;0 - 0;0 - 0;;SPAIN: Laliga - Round 16;https://www.flashscore.com/match/football/h4WXTl6f/#/match-summary;
10.12.2023 23:00;Barcelona;Girona;1.57;1.45;4.20;5.25;5.25;5.50;1.62;1.50;2.20;2.50;1.53;1.33;2.40;3.40;1 - 2;2 - 4;12, 19, 40, 80, 90+2, 90+5;SPAIN: Laliga - Round 16;https://www.flashscore.com/match/football/Ecq6Fki1/#/match-summary;
